Document_ID,Clean_Text,,Sentiment
47,going return first thought brand new computer didnt notice used laptop contacted seller everything returning said could problem got decided check glad got everything wanted good laptop less would spent brand new one brand new condition scratches anything wireless mouse didnt work one ports work others opposite site actually worked better touchscreen comes handy times recorded sound quality good recording video quality could bit better pleased laptop,,negative
48,literally thing would say laptop wish touchscreen little responsive dont get wrong still great touchscreen wish registered touches little accurately laptop super fast havent issues little hesitant dell thought gaming brands like asus might better constructed going forward definitely consider dell best laptop ive owned far,,negative
49,wish didnt waste money buying budget acerasus models first rd laptop many months finally excellent one,,positive
50,wasnt planning buying labtop wanted work home found one long search came day early like far im usually fan dell thing mine came cddvd drive dont mind laptop looked brand new scratches ect also extra ram picked bigger hard drive,,positive
51,bootup quite fast exceeds last laptop hands dont use touch screen didnt rate really seems like overkill machine would given star rating except usb c connection going hook docking station didnt realize capability guess looked closer users complained fan noise issues fan occasionally even hear dell user many years also several brands laptops dell preferred laptop,,positive
52,speed ok screen lower end quality bad contrast washed received used unit new listed laptop works correctly updates applied perhaps like new description,,negative
53,wish would weight less surface mouse would feel smother fingers everything else fine thank,,positive
54,im happy performance,,positive
55,usually wait awhile writing reviews computer equipment months issues performs expected,,positive
56,purchase laptop proven everything hoped ive problems since arrived setup snap good technical advice son selection came,,positive
57,excellent item,,positive
58,product used pacifically personbusiness use,,positive
59,works great right box adding microsoft office professional fast quiet responds fast,,positive
60,dell products top heep,,positive
61,like din work right also receive refund one month,,positive
62,son device snd liked silver keyboard hard see wanted silver case black keyboard contrast white letterson black would easier see picture showed nothing description keyboard except backlit opened box black keyboard disappointed,,positive
63,excellent pc works perfectly fast worth money,,positive
64,good still setting,,positive
65,ive used laptop weeks say met needed far,,positive
66,love,,positive
67,advertised quick connectivity via wifi,,positive
68,nnnnnnnnnn n n sorprendio la rapidez la practicidad esta es mi primera laptop con pantalla tactil llevo un tiempo acostumbrarme de dejar de usar el mouse muy liviana puedo llevarlo tanto al cafe al parque la cama la betería con excelente vida útil para mi sido una buena compran n n n,,positive
69,used daughter go college works great,,positive
70,meh,,positive
71,best money ever spentlove backlight keyboardworks great fasti would really recommend product,,positive
72,like nice touchscreen make computer faster,,positive
73,works great far,,positive
74,personal use everything looking laptop,,positive
75,nice laptop everything needed christmas gift,,positive
76,far love,,positive
77,battery runs hours started using fully charged,,positive
78,title description different actual product less memory half hard drive,,positive
79,dell best amazing one isnt even xps recipient amazed speed,,positive
80,super fast shipping product expected,,positive
81,months using laptop started get blue screen death error messages contacted seller got response turned thirdparty extra memory added original dell laptop defective ended spending money fix dell covered manufacture warranty issue seams common retailer dont buy unless willing spend extra money brand new laptop,,positive
82,ordered laptop december daughters th birthday week stopped working date back forth seller send information ship back item get full refund dont waste money,,positive
83,laptop arrived time exactly advertised plan using writing research coding,,positive
84,happy screens high density look new windows office hard implement tried adjust settings still cannot get system perform needed,,positive
85,absolutely love,,positive
86,fast perfect computer,,positive
87,good day live argentina bought product february friend brought march miami broke month april bought argentina first worked well one day hard drive failed windows blue screen went never worked solve problem consider sold failed product looking forward response,,positive
88,light enough slightly overheating first use speed great ssd flies right cant fault pc save belong camp doesnt understand need touch screen laptop think waste nonetheless dell delivered expected,,positive
89,computer amazing processor fast yet reasonable price im happy,,positive
90,worked expected really good value laptop nd hd,,positive
91,great product,,positive
92,great,,positive
93,got gift best friend went loading ram sata drive cannot believe fast soon hit last digit password signing boom loads backlit god send os super slim lightweight laptops trouble waiting cache chrome nothing ever gets hung never wait page load touch pad odd went reset whole thing never problem anymore went taskmanager turned things running background settings open settings click privacy click background apps choose apps run background section turn toggle switch apps want restrict made faster also use thing sometmes hours day joy happy seller made build possible,,positive
94,bought mine costco thankfully super easy return fan louder airplane seriously loud giving headache might overlook didnt spend time computer waiting something happen soooo sloooowwww year old computers kids run programs load pages faster piece junk brand new pretty much giving dell point,,positive
95,really fast startups nice screen quality everything want,,positive
96,warning avoid dell products event might need call customer support inspiron gaming warranty experienced major slow performance slow wifi laptop mbps download devices recieving mbps hoping speak tech support purchased single incident support advanced software support submitting payment never contacted tech support instead says would take days process eventhough prior paying service said stay phone tech contact right away regarding issue eventually solved problem spending hours refreshingrebooting windows since dell tech help assumed could easily get refund single incident support advanced software support got ugly called support line got bounced around deptment deptartment reexplain refund request time min thought finally reached right department representative said needed put short hold promptley hung calling back took hours process refund repeating first experience departments hours call thought seriously punked exaserbating horrible experience definiite communication breakdown support agents spoke difficult understand dell tech support completely overseas possible speak someone english language first language awful awful awful experience avoid buyer beware device need support time forewarned,,positive
97,screen quality good especially gaming movies keypad mouse good feel typing noise little noticeable even type softly inch size good multiwindow working good work class notetaking thing make regret buying laptop noise fan makes overheats anything big laptop come overheating quicker thus trigger epic fan noise distraction quite environment library classroom well battery life go quickly big things gaming streaming movie cable charger good okaygoodish laptop,,positive
98,meets expectationsso far,,positive
99,thing didnt like one screw screwed completely,,positive
100,disappointing short battery life goes withing h bad product,,positive
101,beautiful fast,,positive
102,satisfied purchase,,positive
103,good laptop high performance working fast smooth,,positive
104,liked much issues good,,positive
105,happy product,,positive
106,best laptop,,positive
107,dc adapter plugin tight fit easily becomes loose lets battery run working understand dell thing buy install new one also hhd hard drive crashed year warranty sent back dell new one fearing refurbished hard drive bought tb crucial ssd installed happy,,positive
108,second dell laptop first one great replaced get windows one problem beginning always messages popping press hard keys pop ups prevent typing less year keys seem stick slows trying get computer fixed use bills etc difficult put next laptop probably wont dell,,positive
109,overall laptop ok dont love builtin wifi antenna submediocre buy external netgear adapter dirt slow watching videos otherwise wasnt router devices fine using wifi house also trackpad squishy trackpad feels poorly made like old car fall apart otherwise performs fine,,positive
